0:0:0:0:0:0:0:1 - - [14/May/2018:21:15:42 +0800] "GET /00.08_AssetsManagementSystem/js/kkpager.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2018:21:15:42 +0800] "GET /00.08_AssetsManagementSystem/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2018:21:15:42 +0800] "GET /00.08_AssetsManagementSystem/js/kkpager/jpager.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2018:21:15:42 +0800] "GET /00.08_AssetsManagementSystem/view/porchase/listPage.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2018:21:15:42 +0800] "GET /00.08_AssetsManagementSystem/js/kkpager/jpager.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2018:21:15:42 +0800] "GET /00.08_AssetsManagementSystem/resources/My97DatePicker/WdatePicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2018:21:15:42 +0800] "GET /00.08_AssetsManagementSystem/resources/My97DatePicker/skin/WdatePicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2018:21:15:59 +0800] "GET /00.08_AssetsManagementSystem/manageEmeController/toUserList.do HTTP/1.1" 200 9278
0:0:0:0:0:0:0:1 - - [14/May/2018:21:15:59 +0800] "GET /00.08_AssetsManagementSystem/lib/layui/lay/modules/laypage.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2018:21:15:59 +0800] "GET /00.08_AssetsManagementSystem/lib/layui/lay/modules/laydate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2018:21:15:59 +0800] "GET /00.08_AssetsManagementSystem/lib/layui/css/modules/laydate/default/laydate.css?v=5.0.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2018:21:15:59 +0800] "POST /00.08_AssetsManagementSystem/manageEmeController//getUsersDB.ajax HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [14/May/2018:21:18:46 +0800] "GET /00.08_AssetsManagementSystem/porchaseController/showPorchase.do HTTP/1.1" 200 8888
0:0:0:0:0:0:0:1 - - [14/May/2018:21:19:19 +0800] "GET /00.08_AssetsManagementSystem/porchaseController/showPorchase.do HTTP/1.1" 200 8895
0:0:0:0:0:0:0:1 - - [14/May/2018:21:19:45 +0800] "GET /00.08_AssetsManagementSystem/porchaseController/showPorchase.do HTTP/1.1" 200 8895
0:0:0:0:0:0:0:1 - - [14/May/2018:21:21:38 +0800] "GET /00.08_AssetsManagementSystem/porchaseController/showPorchase.do HTTP/1.1" 200 8952
0:0:0:0:0:0:0:1 - - [14/May/2018:21:21:54 +0800] "GET /00.08_AssetsManagementSystem/porchaseController/showPorchase.do HTTP/1.1" 200 8956
0:0:0:0:0:0:0:1 - - [14/May/2018:21:22:38 +0800] "GET /00.08_AssetsManagementSystem/porchaseController/showPorchase.do HTTP/1.1" 200 9006
0:0:0:0:0:0:0:1 - - [14/May/2018:21:23:11 +0800] "GET /00.08_AssetsManagementSystem/porchaseController/showPorchase.do HTTP/1.1" 200 9049
0:0:0:0:0:0:0:1 - - [14/May/2018:21:23:25 +0800] "GET /00.08_AssetsManagementSystem/applyController/showApplyByUserName.do HTTP/1.1" 200 8055
0:0:0:0:0:0:0:1 - - [14/May/2018:21:23:25 +0800] "GET /00.08_AssetsManagementSystem/view/apply/listPage2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2018:21:23:30 +0800] "POST /00.08_AssetsManagementSystem/applyController/returnType.do HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [14/May/2018:21:26:46 +0800] "GET /00.08_AssetsManagementSystem/applyController/showApplyByUserName.do HTTP/1.1" 200 8055
0:0:0:0:0:0:0:1 - - [14/May/2018:21:26:57 +0800] "GET /00.08_AssetsManagementSystem/propertyController/showAllProperty.do HTTP/1.1" 200 9780
0:0:0:0:0:0:0:1 - - [14/May/2018:21:26:57 +0800] "GET /00.08_AssetsManagementSystem/view/property/listPage.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2018:21:26:59 +0800] "GET /00.08_AssetsManagementSystem/propertyController/showAllProperty.do HTTP/1.1" 200 9780
0:0:0:0:0:0:0:1 - - [14/May/2018:21:27:19 +0800] "GET /00.08_AssetsManagementSystem/porchaseController/showPorchase.do HTTP/1.1" 200 9049
0:0:0:0:0:0:0:1 - - [14/May/2018:21:27:20 +0800] "GET /00.08_AssetsManagementSystem/applyController/showAllapply.do HTTP/1.1" 200 11772
0:0:0:0:0:0:0:1 - - [14/May/2018:21:27:20 +0800] "GET /00.08_AssetsManagementSystem/view/apply/listPage.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2018:21:27:22 +0800] "GET /00.08_AssetsManagementSystem/applyController/showAllapply.do HTTP/1.1" 200 11772
0:0:0:0:0:0:0:1 - - [14/May/2018:21:31:19 +0800] "GET /00.08_AssetsManagementSystem/applyController/showAllapply.do HTTP/1.1" 200 11744
0:0:0:0:0:0:0:1 - - [14/May/2018:21:42:48 +0800] "GET /00.08_AssetsManagementSystem/applyController/showAllapply.do HTTP/1.1" 200 11737
0:0:0:0:0:0:0:1 - - [14/May/2018:21:44:44 +0800] "GET /00.08_AssetsManagementSystem/applyController/showAllapply.do HTTP/1.1" 200 11744
0:0:0:0:0:0:0:1 - - [14/May/2018:21:45:50 +0800] "GET /00.08_AssetsManagementSystem/applyController/showAllapply.do HTTP/1.1" 200 11759
0:0:0:0:0:0:0:1 - - [14/May/2018:21:46:04 +0800] "GET /00.08_AssetsManagementSystem/applyController/showAllapply.do HTTP/1.1" 200 11758
0:0:0:0:0:0:0:1 - - [14/May/2018:21:46:16 +0800] "GET /00.08_AssetsManagementSystem/applyController/showAllapply.do HTTP/1.1" 200 11758
0:0:0:0:0:0:0:1 - - [14/May/2018:21:46:28 +0800] "GET /00.08_AssetsManagementSystem/applyController/showAllapply.do HTTP/1.1" 200 11758
0:0:0:0:0:0:0:1 - - [14/May/2018:21:52:30 +0800] "GET /00.08_AssetsManagementSystem/applyController/showAllapply.do HTTP/1.1" 200 11826
0:0:0:0:0:0:0:1 - - [14/May/2018:21:52:54 +0800] "GET /00.08_AssetsManagementSystem/applyController/showAllapply.do HTTP/1.1" 200 11704
0:0:0:0:0:0:0:1 - - [14/May/2018:22:06:43 +0800] "GET /00.08_AssetsManagementSystem/porchaseController/showPorchase.do HTTP/1.1" 200 9026
0:0:0:0:0:0:0:1 - - [14/May/2018:22:07:15 +0800] "GET /00.08_AssetsManagementSystem/applyController/showAllapply.do HTTP/1.1" 200 11708
0:0:0:0:0:0:0:1 - - [14/May/2018:22:07:56 +0800] "GET /00.08_AssetsManagementSystem/maintainController/showallmaintain.do HTTP/1.1" 200 11300
0:0:0:0:0:0:0:1 - - [14/May/2018:22:07:56 +0800] "GET /00.08_AssetsManagementSystem/view/maintain/listPage.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2018:22:08:56 +0800] "GET /00.08_AssetsManagementSystem/maintainController/showallmaintain.do HTTP/1.1" 200 11267
0:0:0:0:0:0:0:1 - - [14/May/2018:22:09:39 +0800] "GET /00.08_AssetsManagementSystem/maintainController/showallmaintain.do HTTP/1.1" 200 11292
0:0:0:0:0:0:0:1 - - [14/May/2018:22:10:11 +0800] "GET /00.08_AssetsManagementSystem/maintainController/showallmaintain.do HTTP/1.1" 200 11251
0:0:0:0:0:0:0:1 - - [14/May/2018:22:10:26 +0800] "GET /00.08_AssetsManagementSystem/maintainController/showallmaintain.do HTTP/1.1" 200 11235
0:0:0:0:0:0:0:1 - - [14/May/2018:22:11:06 +0800] "GET /00.08_AssetsManagementSystem/maintainController/showallmaintain.do HTTP/1.1" 200 11211
0:0:0:0:0:0:0:1 - - [14/May/2018:22:11:17 +0800] "GET /00.08_AssetsManagementSystem/maintainController/showallmaintain.do HTTP/1.1" 200 11214
0:0:0:0:0:0:0:1 - - [14/May/2018:22:11:45 +0800] "GET /00.08_AssetsManagementSystem/maintainController/showallmaintain.do HTTP/1.1" 200 11235
0:0:0:0:0:0:0:1 - - [14/May/2018:22:12:00 +0800] "GET /00.08_AssetsManagementSystem/maintainController/showallmaintain.do HTTP/1.1" 200 11234
0:0:0:0:0:0:0:1 - - [14/May/2018:22:12:25 +0800] "GET /00.08_AssetsManagementSystem/maintainController/showallmaintain.do HTTP/1.1" 200 11215
0:0:0:0:0:0:0:1 - - [14/May/2018:22:13:16 +0800] "GET /00.08_AssetsManagementSystem/view/porchase/quary_bill.jsp HTTP/1.1" 200 4570
0:0:0:0:0:0:0:1 - - [14/May/2018:22:13:20 +0800] "GET /00.08_AssetsManagementSystem/resources/My97DatePicker/lang/zh-cn.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2018:22:13:20 +0800] "GET /00.08_AssetsManagementSystem/resources/My97DatePicker/skin/default/datepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2018:22:13:20 +0800] "GET /00.08_AssetsManagementSystem/resources/My97DatePicker/calendar.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2018:22:13:21 +0800] "GET /00.08_AssetsManagementSystem/resources/My97DatePicker/skin/default/img.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2018:22:13:29 +0800] "GET /00.08_AssetsManagementSystem/propertyController/showBorrowreturn.do HTTP/1.1" 200 10391
