127.0.0.1 - - [29/Apr/2018:13:45:57 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [29/Apr/2018:13:45:58 +0800] "GET /00.07_AssetsManagementSystem/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Apr/2018:13:45:59 +0800] "GET /00.07_AssetsManagementSystem/indexController/login.do HTTP/1.1" 200 4014
0:0:0:0:0:0:0:1 - - [29/Apr/2018:13:45:59 +0800] "POST /00.07_AssetsManagementSystem/userController/rememberUser.ajax HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [29/Apr/2018:13:46:24 +0800] "GET /00.07_AssetsManagementSystem/indexController/entryIndex.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Apr/2018:13:46:24 +0800] "GET /00.07_AssetsManagementSystem/indexController/login.do HTTP/1.1" 200 4014
0:0:0:0:0:0:0:1 - - [29/Apr/2018:13:46:25 +0800] "POST /00.07_AssetsManagementSystem/userController/rememberUser.ajax HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [29/Apr/2018:13:46:31 +0800] "POST /00.07_AssetsManagementSystem/userController/checkUser.ajax HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [29/Apr/2018:13:46:31 +0800] "GET /00.07_AssetsManagementSystem/indexController/entryIndex.do HTTP/1.1" 200 7056
0:0:0:0:0:0:0:1 - - [29/Apr/2018:13:46:32 +0800] "GET /00.07_AssetsManagementSystem/indexController/showWelcome.do HTTP/1.1" 200 4748
0:0:0:0:0:0:0:1 - - [29/Apr/2018:13:46:32 +0800] "POST /00.07_AssetsManagementSystem/indexController/OnlineNum.ajax HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [29/Apr/2018:13:46:32 +0800] "POST /00.07_AssetsManagementSystem/indexController/getServerTime.ajax HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [29/Apr/2018:13:46:34 +0800] "GET /00.07_AssetsManagementSystem/applyController/showApplyByUserName.do HTTP/1.1" 200 8200
0:0:0:0:0:0:0:1 - - [29/Apr/2018:13:48:04 +0800] "GET /00.07_AssetsManagementSystem/applyController/showApplyByUserName.do HTTP/1.1" 200 8674
0:0:0:0:0:0:0:1 - - [29/Apr/2018:13:48:04 +0800] "GET /00.07_AssetsManagementSystem/js/xadmin.js HTTP/1.1" 200 5154
0:0:0:0:0:0:0:1 - - [29/Apr/2018:13:48:04 +0800] "GET /00.07_AssetsManagementSystem/resources/My97DatePicker/WdatePicker.js HTTP/1.1" 200 10235
0:0:0:0:0:0:0:1 - - [29/Apr/2018:13:48:04 +0800] "GET /00.07_AssetsManagementSystem/js/kkpager.min.js HTTP/1.1" 200 5951
0:0:0:0:0:0:0:1 - - [29/Apr/2018:13:48:04 +0800] "GET /00.07_AssetsManagementSystem/js/jquery.js HTTP/1.1" 200 256541
0:0:0:0:0:0:0:1 - - [29/Apr/2018:13:48:04 +0800] "GET /00.07_AssetsManagementSystem/js/kkpager/jpager.js HTTP/1.1" 200 10381
0:0:0:0:0:0:0:1 - - [29/Apr/2018:13:48:04 +0800] "GET /00.07_AssetsManagementSystem/view/apply/listPage2.js HTTP/1.1" 200 2265
0:0:0:0:0:0:0:1 - - [29/Apr/2018:13:48:04 +0800] "GET /00.07_AssetsManagementSystem/lib/layui/layui.js HTTP/1.1" 200 5923
